?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany17-DFN-5min-20050215-0015

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20050215-0015
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany17
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Hannover ( 9.80 52.39 )
  Frankfurt ( 8.66 50.14 )
  Hamburg ( 10.08 53.55 )
  Norden ( 7.21 53.60 )
  Bremen ( 8.80 53.08 )
  Berlin ( 13.48 52.52 )
  Muenchen ( 11.55 48.15 )
  Ulm ( 9.99 48.40 )
  Nuernberg ( 11.08 49.45 )
  Stuttgart ( 9.12 48.73 )
  Karlsruhe ( 8.41 49.01 )
  Mannheim ( 8.49 49.49 )
  Essen ( 7.00 51.44 )
  Dortmund ( 7.48 51.51 )
  Duesseldorf ( 6.78 51.22 )
  Koeln ( 7.01 50.92 )
  Leipzig ( 12.38 51.34 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.011691 UNLIMITED
  Bremen_Hamburg ( Bremen Hamburg ) 1 0.06652 UNLIMITED
  Berlin_Dortmund ( Berlin Dortmund ) 1 0.480906 UNLIMITED
  Stuttgart_Nuernberg ( Stuttgart Nuernberg ) 1 0.297654 UNLIMITED
  Hannover_Essen ( Hannover Essen ) 1 2.389931 UNLIMITED
  Leipzig_Hannover ( Leipzig Hannover ) 1 9.964211 UNLIMITED
  Bremen_Hannover ( Bremen Hannover ) 1 20.496856 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 3.352446 UNLIMITED
  Berlin_Muenchen ( Berlin Muenchen ) 1 55.783189 UNLIMITED
  Koeln_Dortmund ( Koeln Dortmund ) 1 0.943528 UNLIMITED
  Stuttgart_Leipzig ( Stuttgart Leipzig ) 1 8.635534 UNLIMITED
  Hannover_Mannheim ( Hannover Mannheim ) 1 1.355891 UNLIMITED
  Frankfurt_Karlsruhe ( Frankfurt Karlsruhe ) 1 26.967489 UNLIMITED
  Bremen_Berlin ( Bremen Berlin ) 1 0.167422 UNLIMITED
  Berlin_Bremen ( Berlin Bremen ) 1 0.707343 UNLIMITED
  Hamburg_Frankfurt ( Hamburg Frankfurt ) 1 77.762366 UNLIMITED
