?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany17-DFN-5min-20050215-0030

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20050215-0030
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany17
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Hannover ( 9.80 52.39 )
  Frankfurt ( 8.66 50.14 )
  Hamburg ( 10.08 53.55 )
  Norden ( 7.21 53.60 )
  Bremen ( 8.80 53.08 )
  Berlin ( 13.48 52.52 )
  Muenchen ( 11.55 48.15 )
  Ulm ( 9.99 48.40 )
  Nuernberg ( 11.08 49.45 )
  Stuttgart ( 9.12 48.73 )
  Karlsruhe ( 8.41 49.01 )
  Mannheim ( 8.49 49.49 )
  Essen ( 7.00 51.44 )
  Dortmund ( 7.48 51.51 )
  Duesseldorf ( 6.78 51.22 )
  Koeln ( 7.01 50.92 )
  Leipzig ( 12.38 51.34 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.012579 UNLIMITED
  Bremen_Hamburg ( Bremen Hamburg ) 1 0.040019 UNLIMITED
  Berlin_Dortmund ( Berlin Dortmund ) 1 0.598049 UNLIMITED
  Stuttgart_Nuernberg ( Stuttgart Nuernberg ) 1 1.901493 UNLIMITED
  Hannover_Essen ( Hannover Essen ) 1 2.282466 UNLIMITED
  Leipzig_Hannover ( Leipzig Hannover ) 1 7.599887 UNLIMITED
  Bremen_Hannover ( Bremen Hannover ) 1 19.269604 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 1.719772 UNLIMITED
  Berlin_Muenchen ( Berlin Muenchen ) 1 50.147125 UNLIMITED
  Koeln_Dortmund ( Koeln Dortmund ) 1 0.682449 UNLIMITED
  Stuttgart_Leipzig ( Stuttgart Leipzig ) 1 6.471088 UNLIMITED
  Hannover_Mannheim ( Hannover Mannheim ) 1 1.156759 UNLIMITED
  Frankfurt_Karlsruhe ( Frankfurt Karlsruhe ) 1 27.261705 UNLIMITED
  Bremen_Berlin ( Bremen Berlin ) 1 1.322859 UNLIMITED
  Berlin_Bremen ( Berlin Bremen ) 1 0.591059 UNLIMITED
  Hamburg_Frankfurt ( Hamburg Frankfurt ) 1 66.730212 UNLIMITED
  Nuernberg_Berlin ( Nuernberg Berlin ) 1 2.060556 UNLIMITED
  Muenchen_Duesseldorf ( Muenchen Duesseldorf ) 1 0.074071 UNLIMITED
  Hannover_Berlin ( Hannover Berlin ) 1 8.101349 UNLIMITED
  Koeln_Hannover ( Koeln Hannover ) 1 4.453343 UNLIMITED
  Bremen_Leipzig ( Bremen Leipzig ) 1 4.006414 UNLIMITED
  Norden_Koeln ( Norden Koeln ) 1 0.004049 UNLIMITED
  Berlin_Hannover ( Berlin Hannover ) 1 7.107505 UNLIMITED
  Norden_Frankfurt ( Norden Frankfurt ) 1 0.402953 UNLIMITED
  Karlsruhe_Dortmund ( Karlsruhe Dortmund ) 1 0.000162 UNLIMITED
  Nuernberg_Stuttgart ( Nuernberg Stuttgart ) 1 0.001214 UNLIMITED
  Karlsruhe_Bremen ( Karlsruhe Bremen ) 1 0.065137 UNLIMITED
  Karlsruhe_Hamburg ( Karlsruhe Hamburg ) 1 0.008763 UNLIMITED
  Stuttgart_Koeln ( Stuttgart Koeln ) 1 2.987494 UNLIMITED
  Koeln_Nuernberg ( Koeln Nuernberg ) 1 0.103005 UNLIMITED
  Nuernberg_Hannover ( Nuernberg Hannover ) 1 0.244885 UNLIMITED
  Hannover_Karlsruhe ( Hannover Karlsruhe ) 1 14.940193 UNLIMITED
  Frankfurt_Muenchen ( Frankfurt Muenchen ) 1 45.518107 UNLIMITED
  Leipzig_Frankfurt ( Leipzig Frankfurt ) 1 398.666976 UNLIMITED
  Essen_Duesseldorf ( Essen Duesseldorf ) 1 0.000019 UNLIMITED
  Hamburg_Mannheim ( Hamburg Mannheim ) 1 0.001018 UNLIMITED
  Mannheim_Hannover ( Mannheim Hannover ) 1 0.018162 UNLIMITED
  Essen_Hamburg ( Essen Hamburg ) 1 0.008053 UNLIMITED
  Koeln_Bremen ( Koeln Bremen ) 1 0.889269 UNLIMITED
  Karlsruhe_Nuernberg ( Karlsruhe Nuernberg ) 1 0.000716 UNLIMITED
  Muenchen_Berlin ( Muenchen Berlin ) 1 4.121754 UNLIMITED
  Dortmund_Muenchen ( Dortmund Muenchen ) 1 28.347493 UNLIMITED
  Duesseldorf_Hannover ( Duesseldorf Hannover ) 1 0.164525 UNLIMITED
  Karlsruhe_Stuttgart ( Karlsruhe Stuttgart ) 1 0.672476 UNLIMITED
  Mannheim_Hamburg ( Mannheim Hamburg ) 1 0.007994 UNLIMITED
  Muenchen_Leipzig ( Muenchen Leipzig ) 1 9.27815 UNLIMITED
  Duesseldorf_Koeln ( Duesseldorf Koeln ) 1 0.00695 UNLIMITED
  Stuttgart_Hamburg ( Stuttgart Hamburg ) 1 1.146009 UNLIMITED
  Ulm_Muenchen ( Ulm Muenchen ) 1 0.154832 UNLIMITED
  Ulm_Hamburg ( Ulm Hamburg ) 1 0.000026 UNLIMITED
  Leipzig_Mannheim ( Leipzig Mannheim ) 1 0.083118 UNLIMITED
  Karlsruhe_Frankfurt ( Karlsruhe Frankfurt ) 1 34.65832 UNLIMITED
  Hannover_Ulm ( Hannover Ulm ) 1 0.188959 UNLIMITED
  Berlin_Koeln ( Berlin Koeln ) 1 1.463476 UNLIMITED
  Berlin_Duesseldorf ( Berlin Duesseldorf ) 1 0.000828 UNLIMITED
  Nuernberg_Koeln ( Nuernberg Koeln ) 1 0.385436 UNLIMITED
  Leipzig_Essen ( Leipzig Essen ) 1 0.689904 UNLIMITED
  Nuernberg_Essen ( Nuernberg Essen ) 1 0.006527 UNLIMITED
  Frankfurt_Koeln ( Frankfurt Koeln ) 1 96.133239 UNLIMITED
  Mannheim_Frankfurt ( Mannheim Frankfurt ) 1 90.766767 UNLIMITED
  Essen_Muenchen ( Essen Muenchen ) 1 0.89519 UNLIMITED
  Leipzig_Duesseldorf ( Leipzig Duesseldorf ) 1 0.002856 UNLIMITED
  Muenchen_Karlsruhe ( Muenchen Karlsruhe ) 1 0.460713 UNLIMITED
  Bremen_Frankfurt ( Bremen Frankfurt ) 1 87.964082 UNLIMITED
  Duesseldorf_Bremen ( Duesseldorf Bremen ) 1 0.036743 UNLIMITED
  Frankfurt_Nuernberg ( Frankfurt Nuernberg ) 1 36.130553 UNLIMITED
  Ulm_Bremen ( Ulm Bremen ) 1 0.00017 UNLIMITED
  Nuernberg_Frankfurt ( Nuernberg Frankfurt ) 1 114.04867 UNLIMITED
  Ulm_Nuernberg ( Ulm Nuernberg ) 1 0.002613 UNLIMITED
  Muenchen_Mannheim ( Muenchen Mannheim ) 1 0.249199 UNLIMITED
  Mannheim_Bremen ( Mannheim Bremen ) 1 0.000893 UNLIMITED
  Hannover_Frankfurt ( Hannover Frankfurt ) 1 216.20981 UNLIMITED
  Duesseldorf_Stuttgart ( Duesseldorf Stuttgart ) 1 1.039721 UNLIMITED
  Stuttgart_Bremen ( Stuttgart Bremen ) 1 1.100706 UNLIMITED
  Essen_Nuernberg ( Essen Nuernberg ) 1 0.005058 UNLIMITED
  Karlsruhe_Duesseldorf ( Karlsruhe Duesseldorf ) 1 0.000002 UNLIMITED
  Stuttgart_Dortmund ( Stuttgart Dortmund ) 1 1.117161 UNLIMITED
  Koeln_Mannheim ( Koeln Mannheim ) 1 0.071614 UNLIMITED
  Hamburg_Nuernberg ( Hamburg Nuernberg ) 1 0.005772 UNLIMITED
  Ulm_Frankfurt ( Ulm Frankfurt ) 1 1.99596 UNLIMITED
  Bremen_Norden ( Bremen Norden ) 1 0.028166 UNLIMITED
  Berlin_Essen ( Berlin Essen ) 1 0.093951 UNLIMITED
  Karlsruhe_Leipzig ( Karlsruhe Leipzig ) 1 0.248673 UNLIMITED
  Leipzig_Berlin ( Leipzig Berlin ) 1 14.271318 UNLIMITED
  Leipzig_Koeln ( Leipzig Koeln ) 1 5.060126 UNLIMITED
  Berlin_Frankfurt ( Berlin Frankfurt ) 1 157.641838 UNLIMITED
  Duesseldorf_Dortmund ( Duesseldorf Dortmund ) 1 0.004059 UNLIMITED
