?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany17-DFN-5min-20050215-0005

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20050215-0005
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany17
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Hannover ( 9.80 52.39 )
  Frankfurt ( 8.66 50.14 )
  Hamburg ( 10.08 53.55 )
  Norden ( 7.21 53.60 )
  Bremen ( 8.80 53.08 )
  Berlin ( 13.48 52.52 )
  Muenchen ( 11.55 48.15 )
  Ulm ( 9.99 48.40 )
  Nuernberg ( 11.08 49.45 )
  Stuttgart ( 9.12 48.73 )
  Karlsruhe ( 8.41 49.01 )
  Mannheim ( 8.49 49.49 )
  Essen ( 7.00 51.44 )
  Dortmund ( 7.48 51.51 )
  Duesseldorf ( 6.78 51.22 )
  Koeln ( 7.01 50.92 )
  Leipzig ( 12.38 51.34 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.012632 UNLIMITED
  Bremen_Hamburg ( Bremen Hamburg ) 1 0.119739 UNLIMITED
  Berlin_Dortmund ( Berlin Dortmund ) 1 0.453702 UNLIMITED
  Stuttgart_Nuernberg ( Stuttgart Nuernberg ) 1 0.358792 UNLIMITED
  Hannover_Essen ( Hannover Essen ) 1 3.834282 UNLIMITED
  Leipzig_Hannover ( Leipzig Hannover ) 1 9.841647 UNLIMITED
  Bremen_Hannover ( Bremen Hannover ) 1 23.380974 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 2.471467 UNLIMITED
  Berlin_Muenchen ( Berlin Muenchen ) 1 59.319054 UNLIMITED
  Koeln_Dortmund ( Koeln Dortmund ) 1 0.512973 UNLIMITED
  Stuttgart_Leipzig ( Stuttgart Leipzig ) 1 10.207923 UNLIMITED
  Hannover_Mannheim ( Hannover Mannheim ) 1 1.349308 UNLIMITED
  Frankfurt_Karlsruhe ( Frankfurt Karlsruhe ) 1 27.729407 UNLIMITED
  Bremen_Berlin ( Bremen Berlin ) 1 0.157363 UNLIMITED
  Berlin_Bremen ( Berlin Bremen ) 1 0.540689 UNLIMITED
  Hamburg_Frankfurt ( Hamburg Frankfurt ) 1 109.196896 UNLIMITED
  Nuernberg_Berlin ( Nuernberg Berlin ) 1 1.513592 UNLIMITED
  Muenchen_Duesseldorf ( Muenchen Duesseldorf ) 1 0.035149 UNLIMITED
  Hannover_Berlin ( Hannover Berlin ) 1 24.058478 UNLIMITED
  Koeln_Hannover ( Koeln Hannover ) 1 1.156223 UNLIMITED
  Bremen_Leipzig ( Bremen Leipzig ) 1 2.969491 UNLIMITED
  Norden_Koeln ( Norden Koeln ) 1 0.001184 UNLIMITED
  Berlin_Hannover ( Berlin Hannover ) 1 6.86961 UNLIMITED
  Norden_Frankfurt ( Norden Frankfurt ) 1 0.234222 UNLIMITED
  Karlsruhe_Dortmund ( Karlsruhe Dortmund ) 1 0.000272 UNLIMITED
  Nuernberg_Stuttgart ( Nuernberg Stuttgart ) 1 0.014224 UNLIMITED
  Karlsruhe_Bremen ( Karlsruhe Bremen ) 1 0.00082 UNLIMITED
  Karlsruhe_Hamburg ( Karlsruhe Hamburg ) 1 0.012977 UNLIMITED
  Ulm_Norden ( Ulm Norden ) 1 0.000009 UNLIMITED
  Stuttgart_Koeln ( Stuttgart Koeln ) 1 3.34399 UNLIMITED
  Koeln_Nuernberg ( Koeln Nuernberg ) 1 0.163003 UNLIMITED
  Nuernberg_Hannover ( Nuernberg Hannover ) 1 0.550731 UNLIMITED
  Hannover_Karlsruhe ( Hannover Karlsruhe ) 1 11.286692 UNLIMITED
  Frankfurt_Muenchen ( Frankfurt Muenchen ) 1 55.948144 UNLIMITED
  Leipzig_Frankfurt ( Leipzig Frankfurt ) 1 479.93891 UNLIMITED
  Essen_Duesseldorf ( Essen Duesseldorf ) 1 0.000038 UNLIMITED
  Hamburg_Mannheim ( Hamburg Mannheim ) 1 0.002267 UNLIMITED
  Mannheim_Hannover ( Mannheim Hannover ) 1 0.028086 UNLIMITED
  Essen_Hamburg ( Essen Hamburg ) 1 0.096322 UNLIMITED
  Koeln_Bremen ( Koeln Bremen ) 1 0.955013 UNLIMITED
  Karlsruhe_Nuernberg ( Karlsruhe Nuernberg ) 1 0.001042 UNLIMITED
  Muenchen_Berlin ( Muenchen Berlin ) 1 6.01486 UNLIMITED
  Dortmund_Muenchen ( Dortmund Muenchen ) 1 30.306802 UNLIMITED
  Duesseldorf_Hannover ( Duesseldorf Hannover ) 1 0.165237 UNLIMITED
