?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany17-DFN-5min-20050215-0040

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20050215-0040
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany17
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Hannover ( 9.80 52.39 )
  Frankfurt ( 8.66 50.14 )
  Hamburg ( 10.08 53.55 )
  Norden ( 7.21 53.60 )
  Bremen ( 8.80 53.08 )
  Berlin ( 13.48 52.52 )
  Muenchen ( 11.55 48.15 )
  Ulm ( 9.99 48.40 )
  Nuernberg ( 11.08 49.45 )
  Stuttgart ( 9.12 48.73 )
  Karlsruhe ( 8.41 49.01 )
  Mannheim ( 8.49 49.49 )
  Essen ( 7.00 51.44 )
  Dortmund ( 7.48 51.51 )
  Duesseldorf ( 6.78 51.22 )
  Koeln ( 7.01 50.92 )
  Leipzig ( 12.38 51.34 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.014368 UNLIMITED
  Bremen_Hamburg ( Bremen Hamburg ) 1 0.043029 UNLIMITED
  Berlin_Dortmund ( Berlin Dortmund ) 1 0.635773 UNLIMITED
  Stuttgart_Nuernberg ( Stuttgart Nuernberg ) 1 0.570057 UNLIMITED
  Hannover_Essen ( Hannover Essen ) 1 3.733057 UNLIMITED
  Leipzig_Hannover ( Leipzig Hannover ) 1 10.429078 UNLIMITED
  Bremen_Hannover ( Bremen Hannover ) 1 19.53907 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 1.151106 UNLIMITED
  Berlin_Muenchen ( Berlin Muenchen ) 1 54.760515 UNLIMITED
  Koeln_Dortmund ( Koeln Dortmund ) 1 0.447396 UNLIMITED
  Stuttgart_Leipzig ( Stuttgart Leipzig ) 1 10.383614 UNLIMITED
  Hannover_Mannheim ( Hannover Mannheim ) 1 0.4892 UNLIMITED
  Frankfurt_Karlsruhe ( Frankfurt Karlsruhe ) 1 27.889712 UNLIMITED
  Bremen_Berlin ( Bremen Berlin ) 1 2.138107 UNLIMITED
  Berlin_Bremen ( Berlin Bremen ) 1 0.541741 UNLIMITED
  Hamburg_Frankfurt ( Hamburg Frankfurt ) 1 82.380787 UNLIMITED
  Nuernberg_Berlin ( Nuernberg Berlin ) 1 1.821002 UNLIMITED
  Hannover_Berlin ( Hannover Berlin ) 1 7.041451 UNLIMITED
  Muenchen_Duesseldorf ( Muenchen Duesseldorf ) 1 0.027623 UNLIMITED
  Koeln_Hannover ( Koeln Hannover ) 1 4.033405 UNLIMITED
  Bremen_Leipzig ( Bremen Leipzig ) 1 5.204872 UNLIMITED
  Norden_Koeln ( Norden Koeln ) 1 0.004415 UNLIMITED
  Berlin_Hannover ( Berlin Hannover ) 1 0.37428 UNLIMITED
  Norden_Frankfurt ( Norden Frankfurt ) 1 0.241255 UNLIMITED
  Karlsruhe_Dortmund ( Karlsruhe Dortmund ) 1 0.00009 UNLIMITED
  Nuernberg_Stuttgart ( Nuernberg Stuttgart ) 1 0.009295 UNLIMITED
  Karlsruhe_Bremen ( Karlsruhe Bremen ) 1 0.000286 UNLIMITED
  Karlsruhe_Hamburg ( Karlsruhe Hamburg ) 1 0.004861 UNLIMITED
  Stuttgart_Koeln ( Stuttgart Koeln ) 1 2.027707 UNLIMITED
  Koeln_Nuernberg ( Koeln Nuernberg ) 1 0.098757 UNLIMITED
  Hannover_Karlsruhe ( Hannover Karlsruhe ) 1 11.819987 UNLIMITED
  Nuernberg_Hannover ( Nuernberg Hannover ) 1 0.494335 UNLIMITED
  Frankfurt_Muenchen ( Frankfurt Muenchen ) 1 41.071637 UNLIMITED
  Leipzig_Frankfurt ( Leipzig Frankfurt ) 1 386.033214 UNLIMITED
  Essen_Duesseldorf ( Essen Duesseldorf ) 1 0.000013 UNLIMITED
  Hamburg_Mannheim ( Hamburg Mannheim ) 1 0.000432 UNLIMITED
  Mannheim_Hannover ( Mannheim Hannover ) 1 0.015437 UNLIMITED
  Essen_Hamburg ( Essen Hamburg ) 1 0.013263 UNLIMITED
  Koeln_Bremen ( Koeln Bremen ) 1 0.862255 UNLIMITED
  Karlsruhe_Nuernberg ( Karlsruhe Nuernberg ) 1 0.001116 UNLIMITED
  Muenchen_Berlin ( Muenchen Berlin ) 1 4.007995 UNLIMITED
  Dortmund_Muenchen ( Dortmund Muenchen ) 1 28.508993 UNLIMITED
  Duesseldorf_Hannover ( Duesseldorf Hannover ) 1 0.161833 UNLIMITED
  Karlsruhe_Stuttgart ( Karlsruhe Stuttgart ) 1 0.763633 UNLIMITED
  Mannheim_Hamburg ( Mannheim Hamburg ) 1 0.013508 UNLIMITED
  Muenchen_Leipzig ( Muenchen Leipzig ) 1 8.973362 UNLIMITED
  Duesseldorf_Koeln ( Duesseldorf Koeln ) 1 0.005232 UNLIMITED
  Stuttgart_Hamburg ( Stuttgart Hamburg ) 1 0.747069 UNLIMITED
  Ulm_Muenchen ( Ulm Muenchen ) 1 0.269215 UNLIMITED
  Leipzig_Mannheim ( Leipzig Mannheim ) 1 0.027897 UNLIMITED
  Karlsruhe_Frankfurt ( Karlsruhe Frankfurt ) 1 19.545355 UNLIMITED
  Hannover_Ulm ( Hannover Ulm ) 1 0.095506 UNLIMITED
  Berlin_Koeln ( Berlin Koeln ) 1 1.660998 UNLIMITED
  Berlin_Duesseldorf ( Berlin Duesseldorf ) 1 0.013644 UNLIMITED
  Nuernberg_Koeln ( Nuernberg Koeln ) 1 1.004491 UNLIMITED
  Leipzig_Essen ( Leipzig Essen ) 1 0.669685 UNLIMITED
  Nuernberg_Essen ( Nuernberg Essen ) 1 0.002191 UNLIMITED
  Frankfurt_Koeln ( Frankfurt Koeln ) 1 96.614256 UNLIMITED
  Essen_Muenchen ( Essen Muenchen ) 1 1.026117 UNLIMITED
