?SNDlib native format; type: network; version: 1.0
# network demandMatrix-germany17-DFN-5min-20050215-0010

# META SECTION
#
# <attribute> <content>

META (
  granularity  = 5min
  time  = 20050215-0010
  unit  = MBITPERSEC
  origin  = DFN Verein http://www.dfn.de, German Research Network, measurements mapped to germany17
)

# NODE SECTION
#
# <node_id> [(<longitude>, <latitude>)]

NODES (
  Hannover ( 9.80 52.39 )
  Frankfurt ( 8.66 50.14 )
  Hamburg ( 10.08 53.55 )
  Norden ( 7.21 53.60 )
  Bremen ( 8.80 53.08 )
  Berlin ( 13.48 52.52 )
  Muenchen ( 11.55 48.15 )
  Ulm ( 9.99 48.40 )
  Nuernberg ( 11.08 49.45 )
  Stuttgart ( 9.12 48.73 )
  Karlsruhe ( 8.41 49.01 )
  Mannheim ( 8.49 49.49 )
  Essen ( 7.00 51.44 )
  Dortmund ( 7.48 51.51 )
  Duesseldorf ( 6.78 51.22 )
  Koeln ( 7.01 50.92 )
  Leipzig ( 12.38 51.34 )
)

# LINK SECTION
#
# <link_id> ( <source> <target> ) <pre_installed_capacity> <pre_installed_capacity_cost> <routing_cost> <setup_cost> ( {<module_capacity> <module_cost>}* )

LINKS (
)

# DEMAND SECTION
#
# <demand_id> ( <source> <target> ) <routing_unit> <demand_value> <max_path_length>

DEMANDS (
  Bremen_Nuernberg ( Bremen Nuernberg ) 1 0.007007 UNLIMITED
  Bremen_Hamburg ( Bremen Hamburg ) 1 0.323543 UNLIMITED
  Berlin_Dortmund ( Berlin Dortmund ) 1 0.548272 UNLIMITED
  Stuttgart_Nuernberg ( Stuttgart Nuernberg ) 1 0.412112 UNLIMITED
  Hannover_Essen ( Hannover Essen ) 1 3.018335 UNLIMITED
  Leipzig_Hannover ( Leipzig Hannover ) 1 10.278689 UNLIMITED
  Bremen_Hannover ( Bremen Hannover ) 1 18.059076 UNLIMITED
  Muenchen_Hamburg ( Muenchen Hamburg ) 1 1.461014 UNLIMITED
  Berlin_Muenchen ( Berlin Muenchen ) 1 43.232129 UNLIMITED
  Koeln_Dortmund ( Koeln Dortmund ) 1 0.974372 UNLIMITED
  Stuttgart_Leipzig ( Stuttgart Leipzig ) 1 7.330016 UNLIMITED
  Hannover_Mannheim ( Hannover Mannheim ) 1 0.831477 UNLIMITED
  Frankfurt_Karlsruhe ( Frankfurt Karlsruhe ) 1 29.810369 UNLIMITED
  Bremen_Berlin ( Bremen Berlin ) 1 0.261542 UNLIMITED
  Berlin_Bremen ( Berlin Bremen ) 1 0.562968 UNLIMITED
  Hamburg_Frankfurt ( Hamburg Frankfurt ) 1 71.826146 UNLIMITED
  Nuernberg_Berlin ( Nuernberg Berlin ) 1 1.749167 UNLIMITED
  Muenchen_Duesseldorf ( Muenchen Duesseldorf ) 1 0.054248 UNLIMITED
  Hannover_Berlin ( Hannover Berlin ) 1 15.84359 UNLIMITED
  Koeln_Hannover ( Koeln Hannover ) 1 1.007127 UNLIMITED
  Bremen_Leipzig ( Bremen Leipzig ) 1 3.289676 UNLIMITED
  Norden_Koeln ( Norden Koeln ) 1 0.001097 UNLIMITED
  Berlin_Hannover ( Berlin Hannover ) 1 5.985213 UNLIMITED
  Norden_Frankfurt ( Norden Frankfurt ) 1 0.255778 UNLIMITED
  Karlsruhe_Dortmund ( Karlsruhe Dortmund ) 1 0.00008 UNLIMITED
  Nuernberg_Stuttgart ( Nuernberg Stuttgart ) 1 0.018395 UNLIMITED
  Karlsruhe_Bremen ( Karlsruhe Bremen ) 1 0.000239 UNLIMITED
  Karlsruhe_Hamburg ( Karlsruhe Hamburg ) 1 0.011165 UNLIMITED
  Stuttgart_Koeln ( Stuttgart Koeln ) 1 2.432565 UNLIMITED
  Koeln_Nuernberg ( Koeln Nuernberg ) 1 0.172678 UNLIMITED
  Nuernberg_Hannover ( Nuernberg Hannover ) 1 0.182244 UNLIMITED
  Hannover_Karlsruhe ( Hannover Karlsruhe ) 1 10.26109 UNLIMITED
  Frankfurt_Muenchen ( Frankfurt Muenchen ) 1 51.966176 UNLIMITED
  Leipzig_Frankfurt ( Leipzig Frankfurt ) 1 424.78184 UNLIMITED
  Essen_Duesseldorf ( Essen Duesseldorf ) 1 0.000038 UNLIMITED
  Hamburg_Mannheim ( Hamburg Mannheim ) 1 0.005046 UNLIMITED
  Mannheim_Hannover ( Mannheim Hannover ) 1 0.004645 UNLIMITED
  Essen_Hamburg ( Essen Hamburg ) 1 1.693934 UNLIMITED
  Koeln_Bremen ( Koeln Bremen ) 1 1.280224 UNLIMITED
  Karlsruhe_Nuernberg ( Karlsruhe Nuernberg ) 1 0.001269 UNLIMITED
  Muenchen_Berlin ( Muenchen Berlin ) 1 6.849067 UNLIMITED
  Dortmund_Muenchen ( Dortmund Muenchen ) 1 28.792871 UNLIMITED
  Duesseldorf_Hannover ( Duesseldorf Hannover ) 1 0.139797 UNLIMITED
  Karlsruhe_Stuttgart ( Karlsruhe Stuttgart ) 1 0.834035 UNLIMITED
  Mannheim_Hamburg ( Mannheim Hamburg ) 1 0.004321 UNLIMITED
  Muenchen_Leipzig ( Muenchen Leipzig ) 1 9.697158 UNLIMITED
  Duesseldorf_Koeln ( Duesseldorf Koeln ) 1 0.47822 UNLIMITED
  Stuttgart_Hamburg ( Stuttgart Hamburg ) 1 4.807991 UNLIMITED
  Ulm_Muenchen ( Ulm Muenchen ) 1 0.207709 UNLIMITED
  Ulm_Hamburg ( Ulm Hamburg ) 1 0.000004 UNLIMITED
  Leipzig_Mannheim ( Leipzig Mannheim ) 1 0.0655 UNLIMITED
  Karlsruhe_Frankfurt ( Karlsruhe Frankfurt ) 1 18.335995 UNLIMITED
  Hannover_Ulm ( Hannover Ulm ) 1 0.192722 UNLIMITED
  Berlin_Koeln ( Berlin Koeln ) 1 1.46511 UNLIMITED
  Berlin_Duesseldorf ( Berlin Duesseldorf ) 1 0.031208 UNLIMITED
